iter	Logloss
0	0.6675193815
1	0.6454021355
2	0.6234678247
3	0.6000120028
4	0.5777854494
5	0.5572599957
6	0.5367534311
7	0.519874828
8	0.5030987254
9	0.4876600641
10	0.4717149132
11	0.4568302197
12	0.4445659822
13	0.4313290961
14	0.4181511181
15	0.4070806964
16	0.3960817755
17	0.3862447632
18	0.3756043388
19	0.3665763827
20	0.3555468024
21	0.345947606
22	0.3377120291
23	0.3297396238
24	0.3214980909
25	0.3132717033
26	0.3059833909
27	0.2985955845
28	0.2921797175
29	0.2858298773
30	0.2796938588
31	0.2735786863
32	0.2673066433
33	0.2617475091
34	0.2561989823
35	0.2503989408
36	0.2452445332
37	0.2403462633
38	0.2349549191
39	0.2313206471
40	0.227793612
41	0.2239234102
42	0.2201747114
43	0.2167029966
44	0.213310029
45	0.2094958139
46	0.2058470914
47	0.2024534998
48	0.1998072628
49	0.1967639994
50	0.1938149406
51	0.1909610507
52	0.1885594223
53	0.1860887038
54	0.1839852457
55	0.1817512229
56	0.1789284178
57	0.1767993487
58	0.1741428304
59	0.1719710623
60	0.1700233545
61	0.1678530612
62	0.1661889456
63	0.1642648917
64	0.1624138417
65	0.1605097831
66	0.1582090101
67	0.1562294517
68	0.1541290283
69	0.1523058157
70	0.1508612083
71	0.1489793572
72	0.1472157617
73	0.1455139103
74	0.1437301919
75	0.1420225689
76	0.1405818046
77	0.139144316
78	0.1377495975
79	0.1364716597
80	0.1351947714
81	0.1339051342
82	0.1331887086
83	0.1321670078
84	0.1307235207
85	0.1296780668
86	0.1285641468
87	0.1272079439
88	0.1261552718
89	0.1254535944
90	0.1241882069
91	0.12290047
92	0.1213753002
93	0.1202665138
94	0.1193385213
95	0.1182277211
96	0.1174613924
97	0.1164555603
98	0.1152770032
99	0.1146178831
100	0.113447714
101	0.1126291778
102	0.1116846361
103	0.1107200637
104	0.1098769305
105	0.1091656525
106	0.1081617561
107	0.1074002489
108	0.1066514905
109	0.1057424793
110	0.1047748934
111	0.1044200628
112	0.1039865558
113	0.1033983337
114	0.1025345458
115	0.1018231828
116	0.1013916611
117	0.1003841698
118	0.09980891628
119	0.09919064462
120	0.09832732474
121	0.09740413964
122	0.09686391327
123	0.09608092184
124	0.09578960802
125	0.09519763507
126	0.09445252117
127	0.09376620183
128	0.09356386688
129	0.09280378491
130	0.09226945785
131	0.09192915565
132	0.09129605063
133	0.09068970521
134	0.09006728559
135	0.08958834255
136	0.0890565468
137	0.08843655214
138	0.08795838196
139	0.08715338867
140	0.08664557305
141	0.08624851837
142	0.08589095786
143	0.0855969
144	0.08518392003
145	0.08449202754
146	0.08418066883
147	0.08350229795
148	0.0830257515
149	0.08248541169
150	0.08198029756
151	0.08174655163
152	0.08105845256
153	0.08060593587
154	0.08032320157
155	0.07976846801
156	0.07959660101
157	0.079161371
158	0.07857819029
159	0.07811895179
160	0.07798568555
161	0.07781505939
162	0.07723908265
163	0.07685432292
164	0.07634401144
165	0.0758311261
166	0.07551515856
167	0.07528432683
168	0.07488883206
169	0.0743164573
170	0.07397884241
171	0.07339198173
172	0.07302682019
173	0.07276072733
174	0.07264706636
175	0.07212400614
176	0.07146759459
177	0.07110007899
178	0.0707595499
179	0.0706036082
180	0.07042696219
181	0.06997218362
182	0.06960307976
183	0.06909710058
184	0.06880592148
185	0.06871314917
